Customer(id,name,gender,rank)	15000
100001,'LUDIE HUMAN','F',1
100002,'ZONA SISTRUNK','F',2
100003,'DEL ALBERTS','M',3
100004,'NED SHIMP','M',1
100005,'SIDNEY LADOUCEUR','F',1
100006,'AL FURMAN','M',3
100007,'LURA FLEISCHMAN','F',2
100008,'SHAWANA ROEPKE','F',1
100009,'MAI LEARNED','F',1
100010,'MIRTA VAUGHAN','F',1
100011,'WALTON WADDINGTON','M',2
100012,'ELDEN FORT','M',3
100013,'EDMUNDO ADCOCK','M',1
100014,'LAMONT YOPP','M',3
100015,'STEPHAN REICHEL','M',2
100016,'KARLY FINNELL','F',3
100017,'DEON HARLESS','F',2
100018,'ANGELINA ISRAEL','F',1
100019,'KEVIN CYBULSKI','M',1
100020,'JAMAL MUDD','M',3
100021,'LEANDRA HOOKS','F',1
100022,'PRISCILLA HIATT','F',1
100023,'MILTON MATTER','M',1
100024,'REED CONSTANTINO','M',2
100025,'LEISHA REULET','F',2
100026,'MAYNARD ROANE','M',2
100027,'BERT BUSHEE','M',3
100028,'NATHANIAL BILLER','M',3
100029,'FLORENCIO TOWNES','M',3
100030,'JULIUS VASQUES','M',1
100031,'UTE DORMAN','F',1
100032,'BETHEL BUCHHEIT','F',2
100033,'ALBERTO CAVALIER','M',1
100034,'KIRK DIGBY','M',2
100035,'BRUCE DOOLAN','M',2
100036,'MAMMIE GRANDBERRY','F',2
100037,'PAOLA CRESWELL','F',3
100038,'DORI ASHBAUGH','F',2
100039,'MARTY DONATI','F',1
100040,'BAILEY MCKEOWN','F',2
100041,'LUCIA HARSHBARGER','F',1
100042,'BRET DELEE','M',2
100043,'ARON PROVENZANO','M',1
100044,'FERMIN WEATHERFORD','M',1
100045,'OMAR KRUPA','M',3
100046,'KELVIN CHAIREZ','M',1
100047,'KOREY ASHLOCK','M',1
100048,'JESSIE BALMER','F',3
100049,'ALFREDO GRAJEDA','M',3
100050,'MUI HUNTSBERRY','F',2
100051,'JONAS TYNES','M',3
100052,'JERRY CHIEN','M',3
100053,'DAVIDA SCHRACK','F',3
100054,'BARRY GARMON','M',2
100055,'DIEGO MATRANGA','M',2
100056,'REUBEN HENRIKSEN','M',1
100057,'HERIBERTO MCGRAW','M',1
100058,'TEDDY BARTLEY','M',3
100059,'SHELA THIEDE','F',3
100060,'AVIS DARWIN','F',1
100061,'RIGOBERTO DUNDAS','M',2
100062,'GINO KIERNAN','M',1
100063,'DULCE STUTZMAN','F',2
100064,'HILARIO SKELLY','M',1
100065,'MERLE BURLINGAME','M',3
100066,'ZADA BOOS','F',3
100067,'HANK COURSEY','M',2
100068,'HWA HEADLEY','F',3
100069,'MARAGARET LEIB','F',3
100070,'COLTON PROPER','M',1
100071,'ARNOLDO GURNEY','M',1
100072,'ROY PENNYPACKER','M',2
100073,'MILAGRO LERMA','F',1
100074,'ELOY HENSLEE','M',1
100075,'AMERICA ENGELKE','F',1
100076,'MELANIA DEMAIO','F',3
100077,'INEZ BOURDON','F',2
100078,'TRINITY ALBAN','F',3
100079,'PORTER ELLINGSON','M',2
